order_id,order_date,region,product_category,quantity,revenue,load_timestamp
ORD-1001,2026-08-01,West,Electronics,3,245.50,2026-08-03T08:15:00Z
ORD-1002,2026-08-01,East,Apparel,1,89.99,2026-08-03T08:20:00Z
ORD-1003,2026-08-02,South,Home Goods,5,412.75,2026-08-03T08:22:00Z
ORD-1004,2026-08-02,West,Electronics,2,156.00,2026-08-03T08:25:00Z
ORD-1005,2026-08-02,,Grocery,8,64.20,2026-08-03T08:30:00Z
ORD-1006,2026-08-02,North,Apparel,4,210.00,2026-08-03T08:33:00Z
ORD-1007,2026-08-03,East,Electronics,1,-49.99,2026-08-03T08:40:00Z
ORD-1008,2026-08-03,South,Home Goods,3,300.10,2026-08-03T08:42:00Z
ORD-1004,2026-08-03,West,Electronics,2,156.00,2026-08-03T08:45:00Z
ORD-1009,2026-08-01,North,Grocery,6,128.40,2026-07-31T10:00:00Z
ORD-1010,2026-08-03,East,Apparel,2,95.00,2026-08-03T09:00:00Z
ORD-1011,2026-08-03,West,Home Goods,7,530.60,2026-08-03T09:05:00Z
